strain,date,image,bit,mt,cp,Venus mean,Venus sd,MitoTracker mean,MitoTracker sd,Chloroplast mean,Chloroplast sd
101,20190522,7,16,yes,no,1984.105,1806.164,2650.945,1468.216,5677.079,1428.229
101,20190522,6,16,yes,no,3146.649,2307.71,4401.578,1913.321,2595.083,788.693
101,20190522,5,16,yes,no,1968.54,1472.905,8702.854,3186.335,4834.385,1560.698
101,20190522,4,16,yes,no,2112.526,1650.428,4527.988,2166.702,5471.467,1225.309
101,20190522,3,16,yes,no,1753.622,1357.556,4304.082,2047.285,3939.521,1062.52
101,20190522,2,16,yes,no,1678.049,1237.554,8647.456,4295.01,6097.212,1271.999
101,20190522,1,16,yes,no,1528.856,989.406,4798.987,2230.986,4562.213,1441.623
101,20190412,3,8,yes,no,9.19,5.566,17.103,7.933,11.756,3.485
101,20190412,2,8,yes,no,9.83,6.21,13.982,7.143,12.48,3.791
101,20190412,1,8,yes,no,7.894,4.39,13.497,7.458,13.672,3.893
186,20191125,43,16,yes,no,952.882,674.688,4585.686,2420.925,2350.785,1023.146
186,20191125,42,16,yes,no,1042.995,885.716,4550.126,2792.888,1922.261,877.133
186,20191125,41,16,yes,no,1176.532,1293.196,15971.783,6741.812,2178.867,1008.273
186,20191125,40,16,yes,no,1034.661,981.883,17152.526,5321.838,2022.818,907.542
186,20191125,39,16,yes,no,1055.109,884.17,10205.185,4062.798,2285.378,1071.005
186,20191125,38,16,yes,no,885.269,539.615,10720.255,3390.535,1734.689,907.871
186,20191125,37,16,yes,no,801.578,418.153,8456.733,3444.554,2835.732,1180.456
186,20191125,36,16,yes,no,798.965,389.622,7196.558,3438.411,2733.039,910.447
186,20191125,35,16,yes,no,1241.615,1222.962,12122.449,4273.523,3380.119,1270.73
186,20191125,34,16,yes,no,975.51,1097.02,12401.225,4691.444,2083.188,1005.463
186,20191125,33,16,yes,no,1263.657,1072.859,3402.146,1879.042,2091.987,964.736
186,20191125,32,16,yes,no,1033.975,787.244,4610.57,2110.969,1898.487,908.25
186,20191125,31,16,yes,no,790.37,429.957,13926.957,4737.48,2405.012,887.905
186,20191125,30,16,yes,no,1260.903,998.023,7217.313,3721.769,1493.518,783.874
186,20191125,29,16,yes,no,907.614,682.433,6540.623,2763.292,2218.984,1265.944
186,20191125,28,16,yes,no,837.942,526.882,9832.668,4044.562,2058.809,885.443
186,20191125,27,16,yes,no,1392.328,1405.509,4167.134,1879.435,1930.328,940.891
186,20191125,26,16,yes,no,1229.131,1338.822,12489.658,4036.421,3444.378,1019.761
186,20191125,25,16,yes,no,899.448,589.089,16733.274,4944.302,5841.328,1696.882
186,20191125,24,16,yes,no,1022.074,855.685,4423.54,2155.851,4816.699,1837.134
186,20191125,23,16,yes,no,965.49,720.988,5948.1,2740.627,4574.731,1411.333
186,20191125,22,16,yes,no,1326.946,1137.405,2910.135,1626.815,3938.687,1159.841
186,20191125,21,16,yes,no,858.617,735.081,8817.43,3850.187,2599.619,1313.793
186,20191125,20,16,yes,no,779.76,476.316,6402.254,2684.166,4284.5,1722.418
186,20191125,19,16,yes,no,902.621,768.925,6936.85,2683.428,2868.836,1222.907
